Credit_History,LoanAmount,Loan_Amount_Term,Loan_ID,Loan_Status,Total_Income,Total_Income_Log,LoanAmount_log,EMI,Ratio,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Education_0,Education_1,Gender_0,Gender_1,Married_0,Married_1,Property_Area_0,Property_Area_1,Property_Area_2,Self_Employed_0,Self_Employed_1
1.0,126.60103626943005,360.0,LP001002,Y,5849.0,8.674025985443025,4.84104069505912,0.01344733526405311,0.5581077002978179,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,128.0,360.0,LP001003,N,6091.0,8.714567550836485,4.852030263919617,0.013477861844221157,0.5567723510794159,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1.0,66.0,360.0,LP001005,Y,3000.0,8.006367567650246,4.189654742026425,0.011637929838962292,0.5232903319296429,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,120.0,360.0,LP001006,Y,4941.0,8.50532301884575,4.787491742782046,0.013298588174394572,0.5628818249670372,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,141.0,360.0,LP001008,Y,6000.0,8.699514748210191,4.948759890378168,0.013746555251050467,0.5688547043840934,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,267.0,360.0,LP001011,Y,9613.0,9.170871628065816,5.58724865840025,0.015520135162222917,0.6092385636825918,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,95.0,360.0,LP001013,Y,3849.0,8.255568653283746,4.553876891600541,0.012649658032223725,0.551612745633117,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,158.0,360.0,LP001014,N,5540.0,8.61974977974133,5.062595033026967,0.014062763980630463,0.587325057268529,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,168.0,360.0,LP001018,Y,5532.0,8.61830469278465,5.123963979403259,0.014233233276120163,0.5945443056443693,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,349.0,360.0,LP001020,N,23809.0,10.077818939438902,5.855071922202427,0.01626408867278452,0.5809860206248573,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
